"filename", "language", "CSS", "JSON", "TypeScript", "TypeScript React", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Profile\MainInfo.tsx", "TypeScript React", 0, 0, 0, 145, 0, 0, 0, 1, 16, 162
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Profile\MoreInformation.tsx", "TypeScript React", 0, 0, 0, 133, 0, 0, 0, 1, 5, 139
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Profile\PanelInformation.tsx", "TypeScript React", 0, 0, 0, 125, 0, 0, 0, 7, 8, 140
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Profile\Profile.tsx", "TypeScript React", 0, 0, 0, 70, 0, 0, 0, 0, 7, 77
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Profile\ProfileTopOptions.tsx", "TypeScript React", 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Profile\Proposals.tsx", "TypeScript React", 0, 0, 0, 30, 0, 0, 0, 0, 8, 38
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Table\TableFees.tsx", "TypeScript React", 0, 0, 0, 98, 0, 0, 0, 0, 11, 109
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Table\TableProposals.tsx", "TypeScript React", 0, 0, 0, 115, 0, 0, 0, 0, 9, 124
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Table\TableReviews.tsx", "TypeScript React", 0, 0, 0, 105, 0, 0, 0, 0, 8, 113
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\TestSite\TestSite.tsx", "TypeScript React", 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Workspaces\ClientContract\ClientContract.tsx", "TypeScript React", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Workspaces\Corporate\Corporate.tsx", "TypeScript React", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Workspaces\GroupNorms\GroupNorms.tsx", "TypeScript React", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Workspaces\RealEstateContracts\RealEstateContracts.tsx", "TypeScript React", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Workspaces\SupplierContract\SupplierContract.tsx", "TypeScript React", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Workspaces\Workspaces.tsx", "TypeScript React", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\entities\comments.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\entities\photos.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\entities\posts.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\entities\userphoto.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\entities\users.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 1, 1, 25
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\index.tsx", "TypeScript React", 0, 0, 0, 14, 0, 0, 0, 0, 6, 20
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\reducers\commentsReducer.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 2, 3, 27
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\reducers\index.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 3, 3, 23
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\reducers\photosReducer.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 1, 3, 26
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\reducers\postsReducer.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 2, 4, 28
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\reducers\usersReducer.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 2, 4, 31
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\styledHelpers\Colors.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\styledHelpers\Components.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 18, 104
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\styledHelpers\FontSizes.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\tools\store.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\tsconfig.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 14, 17153, 357, 2448, 26, 22, 174, 53, 397, 20644
